Date,Dual Fuel,Hydro,Natural Gas,Nuclear,Other Fossil Fuels,Other Renewables,Wind,total,LMP,tempmax,tempmin,temp,coal_price,ura_price,dual_fuel,hydro,natural_gas,nuclear,other_fossil_fuels,other_renewables,wind,nextprice
2019-10-12,651773.0,850037.0,679127.0,1555222.0,1033.0,78895.0,141733.0,3957820.0,22.797241379310343,67.9,57.7,61.8,66.3,24.95,16.4679798474918,21.47740422757983,17.159117898236907,39.29491487738199,0.026100226892582276,1.9933953540080145,3.5810875684088717,16.964379310344828
2019-10-13,499290.0,829983.0,678905.0,1530796.0,289.0,81072.0,143702.0,3764037.0,16.964379310344828,69.0,56.0,61.5,66.3,24.95,13.264747397541523,22.050341162958812,18.036618662356403,40.668994486504786,0.0076779266516243064,2.1538576799324765,3.817762684054381,17.233265306122448
2019-10-14,596807.0,889068.0,783953.0,1562189.0,291.0,76855.0,182165.0,4091328.0,17.233265306122448,75.6,60.1,65.3,66.7,24.9,14.587121834279726,21.730548125205313,19.16133343501181,38.18293228995573,0.007112605002581069,1.8784854208706805,4.45246628967416,21.22689655172414
2019-10-15,710311.0,864813.0,783873.0,1557084.0,291.0,66694.0,62407.0,4045473.0,21.22689655172414,67.7,55.0,60.5,66.75,24.9,17.5581693413848,21.37730248106958,19.37654756316505,38.4895412724297,0.007193225612925855,1.6486082097198522,1.5426379066180889,24.434383561643838
2019-10-16,757517.0,865336.0,741586.0,1567641.0,978.0,69786.0,262513.0,4265357.0,24.434383561643838,65.9,57.0,61.6,66.85,24.9,17.759756100134176,20.287539823747462,17.386258641422042,36.75286734498425,0.022928913101529367,1.6361115845637306,6.154537592046809,20.415521885521883
2019-10-17,770213.0,929701.0,772412.0,1586035.0,295.0,72957.0,341938.0,4473551.0,20.415521885521883,58.9,53.0,55.6,67.2,24.95,17.217038544994793,20.782170584397047,17.266194126321572,35.45360274198282,0.006594314002455768,1.6308520904310693,7.643547597870237,23.50277027027027
2019-10-18,818229.0,881295.0,788395.0,1579019.0,3372.0,74988.0,274721.0,4420019.0,23.50277027027027,61.8,51.0,55.5,67.15,24.9,18.51188874979949,19.938715195568165,17.836914275707866,35.7242581988901,0.07628926481990236,1.6965537930945547,6.215380522119927,24.312773972602738
2019-10-19,481640.0,854889.0,757378.0,1542894.0,290.0,76632.0,40244.0,3753967.0,24.312773972602738,64.8,47.8,54.4,67.15,24.9,12.830160733964895,22.772949256080302,20.17540377952177,41.100361297795104,0.007725161142865667,2.041360512758903,1.0720392587361582,27.80642361111111
2019-10-20,695182.0,746312.0,740554.0,1538233.0,285.0,78505.0,86941.0,3886012.0,27.80642361111111,60.0,53.7,56.4,67.15,24.9,17.889342595956986,19.205087374923185,19.05691490401985,39.58384585533961,0.007333996909942636,2.020194482158058,2.23728079069236,24.584795918367348
2019-10-21,808627.0,895448.0,868133.0,1579523.0,293.0,81522.0,63415.0,4296961.0,24.584795918367348,70.7,53.0,60.0,67.75,24.75,18.818578991059027,20.839100005794794,20.20341818322298,36.75907228387691,0.006818772616274619,1.8972013011055955,1.4758104623244195,19.937105263157896
2019-10-22,898867.0,893785.0,875302.0,1620646.0,307.0,82427.0,308637.0,4679971.0,19.937105263157896,62.9,57.7,59.8,67.7,24.6,19.20667884480481,19.09808842832573,18.703150083622315,34.629402618093145,0.006559869708594348,1.7612715976231474,6.594848557822259,17.3417
2019-10-23,718598.0,1025950.0,846867.0,1609963.0,303.0,83074.0,241347.0,4526102.0,17.3417,69.7,57.7,62.7,67.6,24.4,15.876752225203939,22.667407848961425,18.710736081511197,35.57063009185387,0.0066945022449781295,1.835442506598393,5.332336743626193,17.4594983277592
2019-10-24,713672.0,1048650.0,672333.0,1505870.0,304.0,83313.0,322771.0,4346913.0,17.4594983277592,69.0,53.0,59.7,67.6,24.4,16.41790392400308,24.12401628465994,15.46690720518216,34.64228522632038,0.006993468698361343,1.9166015054821663,7.425292385653911,16.078055555555554
2019-10-25,725252.0,999708.0,647423.0,1532369.0,287.0,79982.0,28365.0,4013386.0,16.078055555555554,65.9,55.0,59.5,67.6,24.2,18.07082598085507,24.90934089070924,16.13159063195018,38.18145077498152,0.0071510689477663,1.9928808243214085,0.7067598282348122,13.901840277777778
2019-10-26,577439.0,952206.0,574567.0,1492120.0,286.0,81625.0,31823.0,3710066.0,13.901840277777778,64.9,55.9,60.4,67.6,24.2,15.564116649137777,25.665473336592935,15.486705627339244,40.21815245335258,0.007708757741776023,2.200095631721916,0.8577475441137705,16.349931972789115
2019-10-27,610346.0,918769.0,488452.0,1572374.0,292.0,81390.0,372789.0,4044412.0,16.349931972789115,68.0,57.7,61.4,67.6,24.2,15.091093587893617,22.716998169325976,12.07720677319719,38.877690996861844,0.007219838137163079,2.012406253368846,9.217384381215366,16.787068965517243
2019-10-28,642241.0,944790.0,636946.0,1558847.0,289.0,80043.0,108740.0,3971896.0,16.787068965517243,62.9,57.8,60.0,66.6,24.05,16.169632840336202,23.786876594956162,16.03632119269991,39.24692388723169,0.007276122033406716,2.0152340343251685,2.737735328417461,16.499508771929822
2019-10-29,625900.0,934389.0,666190.0,1530602.0,284.0,76465.0,204776.0,4038606.0,16.499508771929822,60.1,55.0,58.2,66.4,23.95,15.497921807673244,23.136423805639865,16.49554326418571,37.899265241521455,0.007032129403066305,1.893351319737553,5.070462431839105,17.25684027777778
2019-10-30,720225.0,965200.0,616054.0,1518428.0,854.0,76068.0,67727.0,3964556.0,17.25684027777778,64.0,60.0,61.7,66.05,24.0,18.166599235828677,24.345727491300412,15.539041446255267,38.300076982138734,0.021540873681693485,1.9187016150106089,1.7083123557846074,19.72202702702703
2019-10-31,800153.0,1053731.0,634018.0,1574197.0,293.0,73835.0,170580.0,4306807.0,19.72202702702703,70.0,62.0,66.3,66.85,23.9,18.578798632026,24.466640831595193,14.721300490131087,36.551370887991965,0.006803183890060549,1.714379121237613,3.960706853128083,22.450967741935486
2019-11-01,781738.0,1094955.0,511663.0,1630779.0,306.0,81326.0,264816.0,4365583.0,22.450967741935486,70.0,46.9,54.7,67.75,24.1,17.90684085035149,25.08152977506097,11.720381905463714,37.35535437076789,0.0070093730894590705,1.8628897904357793,6.065993934830697,24.438137931034483
2019-11-02,673948.0,953429.0,539940.0,1551645.0,288.0,78746.0,65274.0,3863270.0,24.438137931034483,55.8,44.6,49.7,67.75,24.1,17.445014197816874,24.679326063153752,13.97624292374077,40.164032024683756,0.007454824539832836,2.0383250458808213,1.6896049201841963,19.247
2019-11-03,612760.0,986480.0,478374.0,1562533.0,289.0,79811.0,158242.0,3878489.0,19.247,56.6,44.0,49.9,67.75,24.1,15.79893613208649,25.434647358803907,12.334030082333609,40.287158220636954,0.007451355411862712,2.0577859057999133,4.079990944927264,18.9911301369863
2019-11-04,696141.0,1046635.0,640887.0,1569677.0,301.0,78348.0,206535.0,4238524.0,18.9911301369863,58.8,44.8,51.9,68.4,24.15,16.42413727042716,24.69338382889893,15.120523087754133,37.033575839136454,0.007101528739721657,1.8484736667764532,4.8728047782671515,22.441979166666666
2019-11-05,796050.0,971553.0,653706.0,1545939.0,1125.0,73644.0,308389.0,4350406.0,22.441979166666666,60.2,53.8,57.1,69.05,24.25,18.298292159398454,22.332467360517615,15.026321681240784,35.5355109385193,0.025859655397680127,1.692807521872671,7.088740683053489,22.0501384083045
2019-11-06,898258.0,988269.0,566721.0,1539267.0,284.0,77426.0,177429.0,4247654.0,22.0501384083045,58.7,47.0,52.5,69.25,24.45,21.147155582822894,23.26623119491371,13.34197653575362,36.23805046267893,0.00668604363726424,1.8227944178127502,4.177105762380835,35.510821917808215
2019-11-07,1054696.0,1027002.0,621329.0,1560489.0,289.0,78493.0,78289.0,4420587.0,35.510821917808215,57.8,44.0,52.1,69.3,24.65,23.858731883344905,23.232253997037045,14.0553505676961,35.30049289834133,0.00653759331057165,1.7756239160093445,1.7710091442607057,34.12763698630137
2019-11-08,1092705.0,1040250.0,614453.0,1572397.0,291.0,80140.0,67410.0,4467646.0,34.12763698630137,45.6,33.0,39.4,69.05,24.7,24.458182228403953,23.284073984375663,13.753394964596568,35.19520123125243,0.0065134972645549795,1.7937858102454851,1.5088482838613444,29.82670138888889
2019-11-09,1002606.0,925661.0,560826.0,1539700.0,1390.0,79211.0,149829.0,4259223.0,29.82670138888889,43.7,31.8,37.9,69.05,24.7,23.539645611417857,21.73309544956909,13.167331224497989,36.14978600556956,0.03263506043238403,1.859752353891778,3.5177542946213425,27.18328767123288
