"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2022","299.65","299.65","299.65","299.65","0.01K","9.36%"
"05/03/2022","274.00","274.00","274.00","274.00","0.02K","6.20%"
"05/02/2022","258.00","258.00","258.00","258.00","","-12.42%"
"04/29/2022","294.60","294.60","294.60","294.60","","-1.02%"
"04/28/2022","297.65","297.65","297.65","297.65","","-0.12%"
"04/27/2022","298.00","298.00","298.00","298.00","","-0.53%"
"04/26/2022","299.60","299.60","299.60","299.60","","-0.47%"
"04/25/2022","301.00","301.00","301.00","301.00","","-0.99%"
"04/22/2022","304.00","304.00","304.00","304.00","","-2.05%"
"04/21/2022","310.35","310.35","310.35","310.35","","0.11%"
"04/20/2022","310.00","310.00","310.00","310.00","","1.36%"
"04/19/2022","305.85","305.85","305.85","305.85","","0.16%"
"04/18/2022","305.35","305.35","305.35","305.35","","0.00%"
"04/14/2022","305.35","305.35","305.35","305.35","","-1.18%"
"04/13/2022","309.00","309.00","309.00","309.00","","0.44%"
"04/12/2022","307.65","307.65","307.65","307.65","","8.71%"
"04/11/2022","283.00","283.00","283.00","283.00","","0.84%"
"04/08/2022","280.65","280.65","280.65","280.65","","3.69%"
"04/07/2022","270.65","270.65","270.65","270.65","","-2.47%"
"04/06/2022","277.50","277.50","277.50","277.50","","4.91%"
"04/05/2022","264.50","264.50","264.50","264.50","","5.53%"
"04/04/2022","250.65","250.65","250.65","250.65","","-0.93%"
"04/01/2022","253.00","253.00","253.00","253.00","","-0.98%"
"03/31/2022","255.50","255.50","255.50","255.50","","1.13%"
"03/30/2022","252.65","252.65","252.65","252.65","","-1.02%"
"03/29/2022","255.25","255.25","255.25","255.25","","-0.58%"
"03/28/2022","256.75","256.75","256.75","256.75","0.05K","-23.51%"
"03/25/2022","335.65","335.65","335.65","335.65","","0.49%"
"03/24/2022","334.00","334.00","334.00","334.00","","-0.49%"
"03/23/2022","335.65","335.65","335.65","335.65","","0.80%"
"03/22/2022","333.00","333.00","333.00","333.00","","0.41%"
"03/21/2022","331.65","331.65","331.65","331.65","","-5.91%"
"03/18/2022","352.50","352.50","352.50","352.50","","11.90%"
"03/17/2022","315.00","315.00","315.00","315.00","","-2.07%"
"03/16/2022","321.65","321.65","321.65","321.65","","-6.77%"
"03/15/2022","345.00","345.00","345.00","345.00","","-9.21%"
"03/14/2022","380.00","380.00","380.00","380.00","","1.33%"
"03/11/2022","375.00","375.00","375.00","375.00","","-0.27%"
"03/10/2022","376.00","376.00","376.00","376.00","","-11.53%"
"03/09/2022","425.00","425.00","425.00","425.00","","-3.77%"
"03/08/2022","441.65","441.65","441.65","441.65","","4.53%"
"03/07/2022","422.50","422.50","422.50","422.50","","1.81%"
"03/04/2022","415.00","415.00","415.00","415.00","","18.57%"
"03/03/2022","350.00","350.00","350.00","350.00","0.02K","-18.60%"
"03/02/2022","430.00","430.00","430.00","430.00","","38.42%"
"03/01/2022","310.65","310.65","310.65","310.65","","18.80%"
"02/28/2022","261.50","261.50","261.50","261.50","","26.94%"
"02/25/2022","206.00","206.00","206.00","206.00","","2.23%"
"02/24/2022","201.50","201.50","201.50","201.50","","0.75%"
"02/23/2022","200.00","200.00","200.00","200.00","","0.76%"
"02/22/2022","198.50","198.50","198.50","198.50","","2.06%"
"02/18/2022","194.50","194.50","194.50","194.50","","-0.77%"
"02/17/2022","196.00","196.00","196.00","196.00","","-1.01%"
